month,f0_
2013-01,1589862
2013-02,1800253
2013-03,2261372
2013-04,2116663
2013-05,2260956
2013-06,2386397
2013-07,2302577
2013-08,2410523
2013-09,2342571
2013-10,2569398
2013-11,2529289
2013-12,2647168
2014-01,2458534
2014-02,2509451
2014-03,3118532
2014-04,3075656
2014-05,3478492
2014-06,3474901
2014-07,3314040
2014-08,3395925
2014-09,3257515
2014-10,3510836
2014-11,2956856
2014-12,2844113
2015-01,2653819
2015-02,2703962
2015-03,2993531
2015-04,2809612
2015-05,3042882
2015-06,2884726
2015-07,2678846
2015-08,2643822
2015-09,2561245
2015-10,2701963
2015-11,2366034
2015-12,2344912
2016-01,2510355
2016-02,2568423
2016-03,2851092
2016-04,2854271
2016-05,2859129
2016-06,2841837
2016-07,2682877
2016-08,2629456
2016-09,2532619
2016-10,2725290
2016-11,2387768
2016-12,2312963
2017-01,1971699
2017-02,1909465
2017-03,2361598
2017-04,2194323
2017-05,2322571
2017-06,2323633
2017-07,2053411
2017-08,2078542
2017-09,1949381
2017-10,2140261
2017-11,1906800
2017-12,1767339
2018-01,1647843
2018-02,1601370
2018-03,1955675
2018-04,1864148
2018-05,1920980
2018-06,1972494
2018-07,1652099
2018-08,1707794
2018-09,1594566
2018-10,1792560
2018-11,1577648
2018-12,1442634
2019-01,1213384
2019-02,1312640
2019-03,1515578
2019-04,1458197
2019-05,1532166
2019-06,1491087
2019-07,1318921
2019-08,1344188
2019-09,1335315
2019-10,1449248
2019-11,1246939
2019-12,1257206
2020-01,1073188
2020-02,1121944
2020-03,557472
2020-04,55611
2020-05,71658
2020-06,102822
2020-07,130545
2020-08,142865
2020-09,162902
2020-10,177781
2020-11,142663
2020-12,149048
2021-01,147173
2021-02,155209
2021-03,208592
2021-04,230529
2021-05,269747
2021-06,332246
2021-07,391848
2021-08,412430
2021-09,428499
2021-10,495537
2021-11,445174
2021-12,430089
2022-01,308041
2022-02,364342
2022-03,518428
2022-04,521506
2022-05,595892
2022-06,638904
2022-07,572865
2022-08,588590
2022-09,608176
2022-10,606281
2022-11,542377
2022-12,513136
2023-01,414052
2023-02,446340
2023-03,584635
2023-04,569539
2023-05,44
